Product Name,Brand,Laptop Type,Price,Discount,MRP,Rating,Review Count,Processor,RAM,Storage,Storage Type,Graphics,Display Size,GPU,Availability,Touchscreen,Operating System,Laptop Use
ASUS ExpertBook P3 AI PC with 1 Yr ADP Intel Core Ultra 7 255H - (16 GB/512 GB SSD/Windows 11 Home) P3...,ASUS,Standard Notebook,89990,53.37,192990,4.4,20,Intel Core Ultra 7,16,512,SSD,Integrated,14,Not Specified,In Stock,No,Windows 11 Home,Business
HP (i5 14th Gen) Intel Core 5 - (16 GB/512 GB SSD/Windows 11 Home) 14-ep0385TU Laptop,HP,Standard Notebook,69900,4.59,73265,4.2,0,Intel Core 5,16,512,SSD,Integrated,14,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0500AU / 15-fc0154AU...,HP,Standard Notebook,52990,5.37,55995,4.2,261,AMD Ryzen 3 Quad Core,8,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11,Student / Everyday
Acer Nitro V 15 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,Acer,Gaming,119990,4.47,125599,4.5,8,Intel Core i7 Processor (13th Gen),16,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Gaming
"HP Professional 14, Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Pro) 240 G10 Thin and ...",HP,Thin & Light,79990,20,99990,4.4,9,Intel Core i5 Processor (13th Gen),16,512,SSD,Integrated,14,Not Specified,In Stock,No,Windows 11,Student / Everyday
ASUS Vivobook S14 (2025)(i5 14th Gen) with Office 2024 + M365 Basic* Backlit Keyboard Intel Core 5 210...,ASUS,Thin & Light,65990,0,65990,4.5,15,Intel Core 5,16,512,SSD,Integrated,14,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U - (8 GB/256 GB SSD/Windows 11 Home) AS15-42 Thin and Light L...,Acer,Thin & Light,43890,15.6,52000,4.1,134,AMD Ryzen 3 Quad Core,8,256,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11,Student / Everyday
ASUS Vivobook 16 (2025) with MSO 2024 + M365 Basic* AMD Ryzen 5 Hexa Core - (16 GB/512 GB SSD/Windows ...,ASUS,Standard Notebook,67990,41.88,116990,4.4,15,AMD Ryzen 5 Hexa Core,16,512,SSD,Integrated,16,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
Lenovo IdeaPad Slim 3 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) IdeaPad Slim ...,Lenovo,Thin & Light,74990,37.5,119990,4.2,2,Intel Core i5 Processor (13th Gen),16,512,SSD,Integrated,15.3,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
DELL Alienware 16 Aurora (i7 14th Gen) Microsoft Office Home 2024 Intel Core 7 240H - (16 GB/1 TB SSD/...,Dell,Standard Notebook,154598,0,154598,4.3,4,Intel Core 7,16,1024,SSD,Integrated,16,Not Specified,In Stock,No,Windows 11,Student / Everyday
HP 255R G10 (2026) Professional DDR5 5600Mhz AMD Ryzen 5 Hexa Core - (8 GB/512 GB SSD/Windows 11 Pro) ...,HP,Standard Notebook,58991,9.23,64990,4.2,3,AMD Ryzen 5 Hexa Core,8,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11,Student / Everyday
Acer Aspire 7(i5 14th Gen) Intel Core 5 210H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA ...,Acer,Standard Notebook,79990,38.46,129990,4.4,20,Intel Core 5,16,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
"Apple MacBook Air (M5, 2026) M5 - (16 GB/512 GB SSD/Tahoe) MDHA4HN/A",Apple,Thin & Light,149900,0,149900,4.7,149,Apple M5,16,512,SSD,Integrated,13.6,Not Specified,In Stock,No,macOS,Student / Everyday
Acer Intel Core i5 - (8 GB/512 GB SSD/Windows 11 Home) TL04-51M Laptop,Acer,Standard Notebook,58999,0,58999,4.2,2,Intel Core i5,8,512,SSD,Integrated,14,Not Specified,In Stock,No,Windows 11,Student / Everyday
HP 15 (i3 14th Gen) Intel Core 3 100U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0885TU Thin and Light ...,HP,Thin & Light,50843,0,50843,4.2,123,Intel Core 3,16,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
Acer AMD Ryzen 7 Octa Core 5th Gen - (16 GB/512 GB SSD/Windows 11 Home) UN.31ZSI.013 Laptop,Acer,Standard Notebook,67938,6.92,72990,,,AMD Ryzen 7 Octa Core Processor (5th Gen),16,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
HP OmniBook X Flip (Previously Envy) Intel Core Ultra 7 258V - (32 GB/1 TB SSD/Windows 11 Home/16 GB G...,HP,2-in-1,160689,0,160689,4.7,1,Intel Core Ultra 7,32,1024,SSD,Integrated,14,Not Specified,In Stock,Yes,Windows 11 Home,Student / Everyday
ASUS Vivobook 15 (2026) with Office 2024 + M365 Basic(i3 14th Gen) Intel Core 3 14th Gen 100U - (8 GB/...,ASUS,Standard Notebook,59990,29.42,84990,4.3,12,Intel Core 3 Processor (14th Gen),8,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
Acer Aspire Lite AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...,Acer,Thin & Light,80391,6.51,85990,4.1,49,AMD Ryzen 7 Octa Core,16,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11,Student / Everyday
Lenovo IdeaPad Slim 3 Next Gen AI PC WUXGA IPS Copilot + PC with 1Yr ADP Snapdragon X - (16 GB/512 GB ...,Lenovo,Thin & Light,69000,30.79,99700,4.4,150,Snapdragon X,16,512,SSD,Integrated,15.3,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
ASUS ExpertBook P1 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) P1503CVA-S71042W...,ASUS,Standard Notebook,76990,23,99990,4.3,105,Intel Core i7 Processor (13th Gen),16,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Business
